repo,username,type,name,timestamp,additions,deletions,total,message,userURL,repoURL
hubot,tombell,1,Tom Bell,2011-11-13T20:31:44Z,4,0,4,"Merge pull request #176 from malditogeek/xmpp_settings

Add support for host/port configuration in the XMPP adapter.",https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-13T20:47:13Z,5,5,10,"Merge pull request #162 from andrebeat/master

Added secure option to use a secure port other than 6697",https://github.com/tombell,https://github.com/balanced/hubot
active_merchant,External,-1,Nathaniel Talbott,2012-02-27T23:33:45Z,220,5,225,"Merge pull request #146 from castiglione/beanstream-recurring

Add support for recurring payments to Beanstream gateway.",https://github.com/ntalbott,https://github.com/balanced/active_merchant
hubot,tombell,1,Tom Bell,2011-11-14T00:49:20Z,64,14,78,"Merge branch 'matchPartialNames' of https://github.com/russelldavis/hubot into russelldavis-matchPartialNames

Conflicts:
    src/robot.coffee
    src/scripts/roles.coffee",https://github.com/tombell,https://github.com/balanced/hubot
active_merchant,External,-1,Christopher Saunders,2012-06-27T19:25:45Z,223,2,225,"Merge pull request #392 from Shopify/paypal/payments_advanced

Add PayPal Payments Advance as a payment processor for Active Merchant",https://github.com/csaunders,https://github.com/balanced/active_merchant
hubot,tombell,1,Tom Bell,2011-11-14T01:15:48Z,2,4,6,"Merge pull request #177 from failberg/master

Make hipchat plugin less chatty and fix reply syntax.",https://github.com/tombell,https://github.com/balanced/hubot
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-09-03T22:46:00Z,222,2,224,Invoice charges table,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
fakeredis,External,-1,James Saryerwinnie,2012-03-14T20:01:42Z,212,10,222,Merge branch 'sort',https://github.com/jamesls,https://github.com/balanced/fakeredis
active_merchant,External,-1,Nathaniel Talbott,2012-07-06T19:52:36Z,120,102,222,CyberSource gateway: clean up formatting,https://github.com/ntalbott,https://github.com/balanced/active_merchant
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-06-14T01:04:26Z,163,59,222,Add pagination to hasMany,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
active_merchant,External,-1,Fabio Kreusch,2012-05-15T14:40:18Z,135,85,220,"Cybersource gateway: Add retrieve method

The retrieve method will pull details on a stored credit card from the
Cybersource API.

Closes PR #361.",https://github.com/ntalbott,https://github.com/balanced/active_merchant
active_merchant,External,-1,John Duff,2012-05-22T15:39:32Z,85,135,220,"Revert ""Cybersource gateway: Add retrieve method""

This reverts commit fbff8ee12356943f510b25ed162a34bf86ad3418.",https://github.com/jduff,https://github.com/balanced/active_merchant
hubot,tombell,1,Tom Bell,2011-11-16T08:42:38Z,1,1,2,"Merge pull request #178 from russelldavis/hipchat-adapter-fix

Hipchat adapter fix",https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-16T20:30:17Z,13,16,29,"Merge pull request #179 from pescuma/gtalk

Fix for from field in messages of gtalk adapter",https://github.com/atmos,https://github.com/balanced/hubot
